group,function,value,sample_time_nanos,iteration_count
cofactor,naive,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([16595212254892240688, 18327673547221282461, 8290929921757905843, 5268251965925701109, 2355715307167857096, 94946809264828008])), c1: Fp384(BigInteger384([10985785464868771181, 6196271087430091559, 8912781798848361087, 9011277540508514477, 499776918759470661, 48736567936740927])) }, y: Fp2 { c0: Fp384(BigInteger384([2509009678219711069, 1218145148842731946, 7894922420898048000, 1449740218260434476, 11369559137330120619, 62628802656363189])), c1: Fp384(BigInteger384([3072622541552349007, 9554996983030809906, 9853453210177295510, 16169109460864899186, 10895923049301413864, 100701149199322391])) }, z: Fp2 { c0: Fp384(BigInteger384([5474605508050857824, 13192429502526974072, 3387960012054692085, 190350469455344060, 14115718587647419117, 94177013481848059])), c1: Fp384(BigInteger384([12595772761281477978, 543540941963259638, 3142858679298528134, 16871800852755687714, 8722627539601711071, 118333540742252275])) }, _params: PhantomData }",1920086.0,1
cofactor,naive,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([16595212254892240688, 18327673547221282461, 8290929921757905843, 5268251965925701109, 2355715307167857096, 94946809264828008])), c1: Fp384(BigInteger384([10985785464868771181, 6196271087430091559, 8912781798848361087, 9011277540508514477, 499776918759470661, 48736567936740927])) }, y: Fp2 { c0: Fp384(BigInteger384([2509009678219711069, 1218145148842731946, 7894922420898048000, 1449740218260434476, 11369559137330120619, 62628802656363189])), c1: Fp384(BigInteger384([3072622541552349007, 9554996983030809906, 9853453210177295510, 16169109460864899186, 10895923049301413864, 100701149199322391])) }, z: Fp2 { c0: Fp384(BigInteger384([5474605508050857824, 13192429502526974072, 3387960012054692085, 190350469455344060, 14115718587647419117, 94177013481848059])), c1: Fp384(BigInteger384([12595772761281477978, 543540941963259638, 3142858679298528134, 16871800852755687714, 8722627539601711071, 118333540742252275])) }, _params: PhantomData }",4030089.0,2
cofactor,naive,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([16595212254892240688, 18327673547221282461, 8290929921757905843, 5268251965925701109, 2355715307167857096, 94946809264828008])), c1: Fp384(BigInteger384([10985785464868771181, 6196271087430091559, 8912781798848361087, 9011277540508514477, 499776918759470661, 48736567936740927])) }, y: Fp2 { c0: Fp384(BigInteger384([2509009678219711069, 1218145148842731946, 7894922420898048000, 1449740218260434476, 11369559137330120619, 62628802656363189])), c1: Fp384(BigInteger384([3072622541552349007, 9554996983030809906, 9853453210177295510, 16169109460864899186, 10895923049301413864, 100701149199322391])) }, z: Fp2 { c0: Fp384(BigInteger384([5474605508050857824, 13192429502526974072, 3387960012054692085, 190350469455344060, 14115718587647419117, 94177013481848059])), c1: Fp384(BigInteger384([12595772761281477978, 543540941963259638, 3142858679298528134, 16871800852755687714, 8722627539601711071, 118333540742252275])) }, _params: PhantomData }",5364112.0,3
cofactor,naive,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([16595212254892240688, 18327673547221282461, 8290929921757905843, 5268251965925701109, 2355715307167857096, 94946809264828008])), c1: Fp384(BigInteger384([10985785464868771181, 6196271087430091559, 8912781798848361087, 9011277540508514477, 499776918759470661, 48736567936740927])) }, y: Fp2 { c0: Fp384(BigInteger384([2509009678219711069, 1218145148842731946, 7894922420898048000, 1449740218260434476, 11369559137330120619, 62628802656363189])), c1: Fp384(BigInteger384([3072622541552349007, 9554996983030809906, 9853453210177295510, 16169109460864899186, 10895923049301413864, 100701149199322391])) }, z: Fp2 { c0: Fp384(BigInteger384([5474605508050857824, 13192429502526974072, 3387960012054692085, 190350469455344060, 14115718587647419117, 94177013481848059])), c1: Fp384(BigInteger384([12595772761281477978, 543540941963259638, 3142858679298528134, 16871800852755687714, 8722627539601711071, 118333540742252275])) }, _params: PhantomData }",7409341.0,4
cofactor,naive,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([16595212254892240688, 18327673547221282461, 8290929921757905843, 5268251965925701109, 2355715307167857096, 94946809264828008])), c1: Fp384(BigInteger384([10985785464868771181, 6196271087430091559, 8912781798848361087, 9011277540508514477, 499776918759470661, 48736567936740927])) }, y: Fp2 { c0: Fp384(BigInteger384([2509009678219711069, 1218145148842731946, 7894922420898048000, 1449740218260434476, 11369559137330120619, 62628802656363189])), c1: Fp384(BigInteger384([3072622541552349007, 9554996983030809906, 9853453210177295510, 16169109460864899186, 10895923049301413864, 100701149199322391])) }, z: Fp2 { c0: Fp384(BigInteger384([5474605508050857824, 13192429502526974072, 3387960012054692085, 190350469455344060, 14115718587647419117, 94177013481848059])), c1: Fp384(BigInteger384([12595772761281477978, 543540941963259638, 3142858679298528134, 16871800852755687714, 8722627539601711071, 118333540742252275])) }, _params: PhantomData }",8556871.0,5
cofactor,naive,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([16595212254892240688, 18327673547221282461, 8290929921757905843, 5268251965925701109, 2355715307167857096, 94946809264828008])), c1: Fp384(BigInteger384([10985785464868771181, 6196271087430091559, 8912781798848361087, 9011277540508514477, 499776918759470661, 48736567936740927])) }, y: Fp2 { c0: Fp384(BigInteger384([2509009678219711069, 1218145148842731946, 7894922420898048000, 1449740218260434476, 11369559137330120619, 62628802656363189])), c1: Fp384(BigInteger384([3072622541552349007, 9554996983030809906, 9853453210177295510, 16169109460864899186, 10895923049301413864, 100701149199322391])) }, z: Fp2 { c0: Fp384(BigInteger384([5474605508050857824, 13192429502526974072, 3387960012054692085, 190350469455344060, 14115718587647419117, 94177013481848059])), c1: Fp384(BigInteger384([12595772761281477978, 543540941963259638, 3142858679298528134, 16871800852755687714, 8722627539601711071, 118333540742252275])) }, _params: PhantomData }",10162004.0,6
cofactor,naive,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([16595212254892240688, 18327673547221282461, 8290929921757905843, 5268251965925701109, 2355715307167857096, 94946809264828008])), c1: Fp384(BigInteger384([10985785464868771181, 6196271087430091559, 8912781798848361087, 9011277540508514477, 499776918759470661, 48736567936740927])) }, y: Fp2 { c0: Fp384(BigInteger384([2509009678219711069, 1218145148842731946, 7894922420898048000, 1449740218260434476, 11369559137330120619, 62628802656363189])), c1: Fp384(BigInteger384([3072622541552349007, 9554996983030809906, 9853453210177295510, 16169109460864899186, 10895923049301413864, 100701149199322391])) }, z: Fp2 { c0: Fp384(BigInteger384([5474605508050857824, 13192429502526974072, 3387960012054692085, 190350469455344060, 14115718587647419117, 94177013481848059])), c1: Fp384(BigInteger384([12595772761281477978, 543540941963259638, 3142858679298528134, 16871800852755687714, 8722627539601711071, 118333540742252275])) }, _params: PhantomData }",13023316.0,7
cofactor,naive,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([16595212254892240688, 18327673547221282461, 8290929921757905843, 5268251965925701109, 2355715307167857096, 94946809264828008])), c1: Fp384(BigInteger384([10985785464868771181, 6196271087430091559, 8912781798848361087, 9011277540508514477, 499776918759470661, 48736567936740927])) }, y: Fp2 { c0: Fp384(BigInteger384([2509009678219711069, 1218145148842731946, 7894922420898048000, 1449740218260434476, 11369559137330120619, 62628802656363189])), c1: Fp384(BigInteger384([3072622541552349007, 9554996983030809906, 9853453210177295510, 16169109460864899186, 10895923049301413864, 100701149199322391])) }, z: Fp2 { c0: Fp384(BigInteger384([5474605508050857824, 13192429502526974072, 3387960012054692085, 190350469455344060, 14115718587647419117, 94177013481848059])), c1: Fp384(BigInteger384([12595772761281477978, 543540941963259638, 3142858679298528134, 16871800852755687714, 8722627539601711071, 118333540742252275])) }, _params: PhantomData }",13878995.0,8
cofactor,naive,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([16595212254892240688, 18327673547221282461, 8290929921757905843, 5268251965925701109, 2355715307167857096, 94946809264828008])), c1: Fp384(BigInteger384([10985785464868771181, 6196271087430091559, 8912781798848361087, 9011277540508514477, 499776918759470661, 48736567936740927])) }, y: Fp2 { c0: Fp384(BigInteger384([2509009678219711069, 1218145148842731946, 7894922420898048000, 1449740218260434476, 11369559137330120619, 62628802656363189])), c1: Fp384(BigInteger384([3072622541552349007, 9554996983030809906, 9853453210177295510, 16169109460864899186, 10895923049301413864, 100701149199322391])) }, z: Fp2 { c0: Fp384(BigInteger384([5474605508050857824, 13192429502526974072, 3387960012054692085, 190350469455344060, 14115718587647419117, 94177013481848059])), c1: Fp384(BigInteger384([12595772761281477978, 543540941963259638, 3142858679298528134, 16871800852755687714, 8722627539601711071, 118333540742252275])) }, _params: PhantomData }",15003637.0,9
cofactor,naive,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([16595212254892240688, 18327673547221282461, 8290929921757905843, 5268251965925701109, 2355715307167857096, 94946809264828008])), c1: Fp384(BigInteger384([10985785464868771181, 6196271087430091559, 8912781798848361087, 9011277540508514477, 499776918759470661, 48736567936740927])) }, y: Fp2 { c0: Fp384(BigInteger384([2509009678219711069, 1218145148842731946, 7894922420898048000, 1449740218260434476, 11369559137330120619, 62628802656363189])), c1: Fp384(BigInteger384([3072622541552349007, 9554996983030809906, 9853453210177295510, 16169109460864899186, 10895923049301413864, 100701149199322391])) }, z: Fp2 { c0: Fp384(BigInteger384([5474605508050857824, 13192429502526974072, 3387960012054692085, 190350469455344060, 14115718587647419117, 94177013481848059])), c1: Fp384(BigInteger384([12595772761281477978, 543540941963259638, 3142858679298528134, 16871800852755687714, 8722627539601711071, 118333540742252275])) }, _params: PhantomData }",16715315.0,10
