group,function,value,sample_time_nanos,iteration_count
cofactor,naive,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([14047261555964428695, 4132920371092365395, 11951788387795597625, 12478024847565651096, 15322565358038243885, 96243495692006592])), c1: Fp384(BigInteger384([12037963485519085176, 14882123724602306081, 11309660368239128332, 17339271485022745376, 5183170635466239350, 91768776581385664])) }, y: Fp2 { c0: Fp384(BigInteger384([13563319206038887640, 14041667786213838897, 10853034652245453679, 2709443186366958510, 10497525572510506337, 73211529143723252])), c1: Fp384(BigInteger384([15115046377777487558, 5281981138275825690, 16275399440022273747, 9346870925843016847, 1695430124819918706, 74838556077447901])) }, z: Fp2 { c0: Fp384(BigInteger384([11089841269488722384, 1360493119907690188, 12769638104394311240, 16146920834379116615, 6227870061749767155, 114873850918873757])), c1: Fp384(BigInteger384([16568321142730984179, 17767127194848903942, 9887697299362159268, 6508839347750926795, 30724723936292843, 58133098895532181])) }, _params: PhantomData }",1642467.0,1
cofactor,naive,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([14047261555964428695, 4132920371092365395, 11951788387795597625, 12478024847565651096, 15322565358038243885, 96243495692006592])), c1: Fp384(BigInteger384([12037963485519085176, 14882123724602306081, 11309660368239128332, 17339271485022745376, 5183170635466239350, 91768776581385664])) }, y: Fp2 { c0: Fp384(BigInteger384([13563319206038887640, 14041667786213838897, 10853034652245453679, 2709443186366958510, 10497525572510506337, 73211529143723252])), c1: Fp384(BigInteger384([15115046377777487558, 5281981138275825690, 16275399440022273747, 9346870925843016847, 1695430124819918706, 74838556077447901])) }, z: Fp2 { c0: Fp384(BigInteger384([11089841269488722384, 1360493119907690188, 12769638104394311240, 16146920834379116615, 6227870061749767155, 114873850918873757])), c1: Fp384(BigInteger384([16568321142730984179, 17767127194848903942, 9887697299362159268, 6508839347750926795, 30724723936292843, 58133098895532181])) }, _params: PhantomData }",3320833.0,2
cofactor,naive,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([14047261555964428695, 4132920371092365395, 11951788387795597625, 12478024847565651096, 15322565358038243885, 96243495692006592])), c1: Fp384(BigInteger384([12037963485519085176, 14882123724602306081, 11309660368239128332, 17339271485022745376, 5183170635466239350, 91768776581385664])) }, y: Fp2 { c0: Fp384(BigInteger384([13563319206038887640, 14041667786213838897, 10853034652245453679, 2709443186366958510, 10497525572510506337, 73211529143723252])), c1: Fp384(BigInteger384([15115046377777487558, 5281981138275825690, 16275399440022273747, 9346870925843016847, 1695430124819918706, 74838556077447901])) }, z: Fp2 { c0: Fp384(BigInteger384([11089841269488722384, 1360493119907690188, 12769638104394311240, 16146920834379116615, 6227870061749767155, 114873850918873757])), c1: Fp384(BigInteger384([16568321142730984179, 17767127194848903942, 9887697299362159268, 6508839347750926795, 30724723936292843, 58133098895532181])) }, _params: PhantomData }",5066297.0,3
cofactor,naive,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([14047261555964428695, 4132920371092365395, 11951788387795597625, 12478024847565651096, 15322565358038243885, 96243495692006592])), c1: Fp384(BigInteger384([12037963485519085176, 14882123724602306081, 11309660368239128332, 17339271485022745376, 5183170635466239350, 91768776581385664])) }, y: Fp2 { c0: Fp384(BigInteger384([13563319206038887640, 14041667786213838897, 10853034652245453679, 2709443186366958510, 10497525572510506337, 73211529143723252])), c1: Fp384(BigInteger384([15115046377777487558, 5281981138275825690, 16275399440022273747, 9346870925843016847, 1695430124819918706, 74838556077447901])) }, z: Fp2 { c0: Fp384(BigInteger384([11089841269488722384, 1360493119907690188, 12769638104394311240, 16146920834379116615, 6227870061749767155, 114873850918873757])), c1: Fp384(BigInteger384([16568321142730984179, 17767127194848903942, 9887697299362159268, 6508839347750926795, 30724723936292843, 58133098895532181])) }, _params: PhantomData }",7215610.0,4
cofactor,naive,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([14047261555964428695, 4132920371092365395, 11951788387795597625, 12478024847565651096, 15322565358038243885, 96243495692006592])), c1: Fp384(BigInteger384([12037963485519085176, 14882123724602306081, 11309660368239128332, 17339271485022745376, 5183170635466239350, 91768776581385664])) }, y: Fp2 { c0: Fp384(BigInteger384([13563319206038887640, 14041667786213838897, 10853034652245453679, 2709443186366958510, 10497525572510506337, 73211529143723252])), c1: Fp384(BigInteger384([15115046377777487558, 5281981138275825690, 16275399440022273747, 9346870925843016847, 1695430124819918706, 74838556077447901])) }, z: Fp2 { c0: Fp384(BigInteger384([11089841269488722384, 1360493119907690188, 12769638104394311240, 16146920834379116615, 6227870061749767155, 114873850918873757])), c1: Fp384(BigInteger384([16568321142730984179, 17767127194848903942, 9887697299362159268, 6508839347750926795, 30724723936292843, 58133098895532181])) }, _params: PhantomData }",8931193.0,5
cofactor,naive,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([14047261555964428695, 4132920371092365395, 11951788387795597625, 12478024847565651096, 15322565358038243885, 96243495692006592])), c1: Fp384(BigInteger384([12037963485519085176, 14882123724602306081, 11309660368239128332, 17339271485022745376, 5183170635466239350, 91768776581385664])) }, y: Fp2 { c0: Fp384(BigInteger384([13563319206038887640, 14041667786213838897, 10853034652245453679, 2709443186366958510, 10497525572510506337, 73211529143723252])), c1: Fp384(BigInteger384([15115046377777487558, 5281981138275825690, 16275399440022273747, 9346870925843016847, 1695430124819918706, 74838556077447901])) }, z: Fp2 { c0: Fp384(BigInteger384([11089841269488722384, 1360493119907690188, 12769638104394311240, 16146920834379116615, 6227870061749767155, 114873850918873757])), c1: Fp384(BigInteger384([16568321142730984179, 17767127194848903942, 9887697299362159268, 6508839347750926795, 30724723936292843, 58133098895532181])) }, _params: PhantomData }",9809915.0,6
cofactor,naive,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([14047261555964428695, 4132920371092365395, 11951788387795597625, 12478024847565651096, 15322565358038243885, 96243495692006592])), c1: Fp384(BigInteger384([12037963485519085176, 14882123724602306081, 11309660368239128332, 17339271485022745376, 5183170635466239350, 91768776581385664])) }, y: Fp2 { c0: Fp384(BigInteger384([13563319206038887640, 14041667786213838897, 10853034652245453679, 2709443186366958510, 10497525572510506337, 73211529143723252])), c1: Fp384(BigInteger384([15115046377777487558, 5281981138275825690, 16275399440022273747, 9346870925843016847, 1695430124819918706, 74838556077447901])) }, z: Fp2 { c0: Fp384(BigInteger384([11089841269488722384, 1360493119907690188, 12769638104394311240, 16146920834379116615, 6227870061749767155, 114873850918873757])), c1: Fp384(BigInteger384([16568321142730984179, 17767127194848903942, 9887697299362159268, 6508839347750926795, 30724723936292843, 58133098895532181])) }, _params: PhantomData }",12111712.0,7
cofactor,naive,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([14047261555964428695, 4132920371092365395, 11951788387795597625, 12478024847565651096, 15322565358038243885, 96243495692006592])), c1: Fp384(BigInteger384([12037963485519085176, 14882123724602306081, 11309660368239128332, 17339271485022745376, 5183170635466239350, 91768776581385664])) }, y: Fp2 { c0: Fp384(BigInteger384([13563319206038887640, 14041667786213838897, 10853034652245453679, 2709443186366958510, 10497525572510506337, 73211529143723252])), c1: Fp384(BigInteger384([15115046377777487558, 5281981138275825690, 16275399440022273747, 9346870925843016847, 1695430124819918706, 74838556077447901])) }, z: Fp2 { c0: Fp384(BigInteger384([11089841269488722384, 1360493119907690188, 12769638104394311240, 16146920834379116615, 6227870061749767155, 114873850918873757])), c1: Fp384(BigInteger384([16568321142730984179, 17767127194848903942, 9887697299362159268, 6508839347750926795, 30724723936292843, 58133098895532181])) }, _params: PhantomData }",14487810.0,8
cofactor,naive,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([14047261555964428695, 4132920371092365395, 11951788387795597625, 12478024847565651096, 15322565358038243885, 96243495692006592])), c1: Fp384(BigInteger384([12037963485519085176, 14882123724602306081, 11309660368239128332, 17339271485022745376, 5183170635466239350, 91768776581385664])) }, y: Fp2 { c0: Fp384(BigInteger384([13563319206038887640, 14041667786213838897, 10853034652245453679, 2709443186366958510, 10497525572510506337, 73211529143723252])), c1: Fp384(BigInteger384([15115046377777487558, 5281981138275825690, 16275399440022273747, 9346870925843016847, 1695430124819918706, 74838556077447901])) }, z: Fp2 { c0: Fp384(BigInteger384([11089841269488722384, 1360493119907690188, 12769638104394311240, 16146920834379116615, 6227870061749767155, 114873850918873757])), c1: Fp384(BigInteger384([16568321142730984179, 17767127194848903942, 9887697299362159268, 6508839347750926795, 30724723936292843, 58133098895532181])) }, _params: PhantomData }",15300500.0,9
cofactor,naive,"GroupProjective { x: Fp2 { c0: Fp384(BigInteger384([14047261555964428695, 4132920371092365395, 11951788387795597625, 12478024847565651096, 15322565358038243885, 96243495692006592])), c1: Fp384(BigInteger384([12037963485519085176, 14882123724602306081, 11309660368239128332, 17339271485022745376, 5183170635466239350, 91768776581385664])) }, y: Fp2 { c0: Fp384(BigInteger384([13563319206038887640, 14041667786213838897, 10853034652245453679, 2709443186366958510, 10497525572510506337, 73211529143723252])), c1: Fp384(BigInteger384([15115046377777487558, 5281981138275825690, 16275399440022273747, 9346870925843016847, 1695430124819918706, 74838556077447901])) }, z: Fp2 { c0: Fp384(BigInteger384([11089841269488722384, 1360493119907690188, 12769638104394311240, 16146920834379116615, 6227870061749767155, 114873850918873757])), c1: Fp384(BigInteger384([16568321142730984179, 17767127194848903942, 9887697299362159268, 6508839347750926795, 30724723936292843, 58133098895532181])) }, _params: PhantomData }",17254085.0,10
